CC	CT  kmer_occurrence    short_read_kmer_count  raw_input_kmer_count  adjusted_input_kmer_count
CC	FR  fpr_lower_bound    fpr_upper_bound
CC	ER  total_input_kmers  adjusted_error_kmers
CC	CV  coverage
CC	QV  raw_quality_value  adjusted_quality_value
CC
SQ	CP126102.1	5004067	5004037	5004016	68.68
CT	823	3	7	7.000
CT	822	3	15	15.000
CT	821	2	7	7.000
CT	820	2	13	13.000
CT	819	3	6	6.000
CT	818	6	24	24.000
CT	817	2	0	0.000
CT	816	1	6	6.000
CT	815	3	13	13.000
CT	814	5	21	21.000
CT	813	2	0	0.000
CT	812	2	13	13.000
CT	811	4	20	20.000
CT	810	3	13	13.000
CT	809	1	6	6.000
CT	808	2	6	6.000
CT	807	0	0	0.000
CT	806	2	6	6.000
CT	805	4	18	18.000
CT	804	0	0	0.000
CT	803	0	0	0.000
CT	802	2	0	0.000
CT	801	2	0	0.000
CT	800	2	13	13.000
CT	799	1	7	7.000
CT	798	6	23	23.000
CT	797	3	13	13.000
CT	796	4	19	19.000
CT	795	3	20	20.000
CT	794	4	20	20.000
CT	793	2	7	7.000
CT	792	0	0	0.000
CT	791	4	13	13.000
CT	790	3	12	12.000
CT	789	0	0	0.000
CT	788	6	17	17.000
CT	787	2	12	12.000
CT	786	5	20	20.000
CT	785	3	12	12.000
CT	784	1	7	7.000
CT	783	2	6	6.000
CT	782	7	32	32.000
CT	781	2	6	6.000
CT	780	3	7	7.000
CT	779	5	30	30.000
CT	778	4	19	19.000
CT	777	2	12	12.000
CT	776	4	17	17.000
CT	775	0	0	0.000
CT	774	1	5	5.000
CT	773	3	6	6.000
CT	772	1	6	6.000
CT	771	3	13	13.000
CT	770	3	17	17.000
CT	769	1	5	5.000
CT	768	2	6	6.000
CT	767	0	0	0.000
CT	766	4	15	15.000
CT	765	1	0	0.000
CT	764	5	25	25.000
CT	763	4	19	19.000
CT	762	1	5	5.000
CT	761	2	13	13.000
CT	760	5	23	23.000
CT	759	2	15	15.000
CT	758	5	30	30.000
CT	757	5	24	24.000
CT	756	5	34	34.000
CT	755	3	21	21.000
CT	754	8	31	31.000
CT	753	5	20	20.000
CT	752	1	0	0.000
CT	751	1	8	8.000
CT	750	6	31	31.000
CT	749	6	20	20.000
CT	748	2	6	6.000
CT	747	3	8	8.000
CT	746	4	24	24.000
CT	745	0	0	0.000
CT	744	7	28	28.000
CT	743	6	32	32.000
CT	742	4	13	13.000
CT	741	6	35	35.000
CT	740	5	24	24.000
CT	739	5	25	25.000
CT	738	4	24	24.000
CT	737	1	7	7.000
CT	736	4	12	12.000
CT	735	2	12	12.000
CT	734	1	6	6.000
CT	733	2	13	13.000
CT	732	8	54	54.000
CT	731	5	31	31.000
CT	730	4	21	21.000
CT	729	4	25	25.000
CT	728	3	11	11.000
CT	727	7	31	31.000
CT	726	8	50	50.000
CT	725	3	20	20.000
CT	724	2	13	13.000
CT	723	7	23	23.000
CT	722	7	31	31.000
CT	721	3	17	17.000
CT	720	3	11	11.000
CT	719	2	6	6.000
CT	718	10	60	60.000
CT	717	3	6	6.000
CT	716	11	53	53.000
CT	715	5	25	25.000
CT	714	3	12	12.000
CT	713	3	16	16.000
CT	712	5	17	17.000
CT	711	6	22	22.000
CT	710	7	40	40.000
CT	709	4	15	15.000
CT	708	0	0	0.000
CT	707	6	17	17.000
CT	706	9	33	33.000
CT	705	3	11	11.000
CT	704	3	13	13.000
CT	703	4	24	24.000
CT	702	5	15	15.000
CT	701	9	60	60.000
CT	700	6	35	35.000
CT	699	4	15	15.000
CT	698	4	12	12.000
CT	697	5	11	11.000
CT	696	6	29	29.000
CT	695	7	30	30.000
CT	694	5	28	28.000
CT	693	6	42	42.000
CT	692	9	51	51.000
CT	691	5	38	38.000
CT	690	10	32	32.000
CT	689	4	27	27.000
CT	688	6	39	39.000
CT	687	3	14	14.000
CT	686	4	18	18.000
CT	685	1	7	7.000
CT	684	1	0	0.000
CT	683	5	38	38.000
CT	682	4	28	28.000
CT	681	8	38	38.000
CT	680	6	35	35.000
CT	679	3	4	4.000
CT	678	5	17	17.000
CT	677	5	34	34.000
CT	676	7	31	31.000
CT	675	4	17	17.000
CT	674	7	32	32.000
CT	673	4	23	23.000
CT	672	7	39	39.000
CT	671	11	53	53.000
CT	670	6	38	38.000
CT	669	7	37	37.000
CT	668	10	54	54.000
CT	667	9	67	67.000
CT	666	3	18	18.000
CT	665	12	65	65.000
CT	664	7	39	39.000
CT	663	8	38	38.000
CT	662	6	30	30.000
CT	661	16	63	63.000
CT	660	17	74	74.000
CT	659	5	16	16.000
CT	658	4	22	22.000
CT	657	11	58	58.000
CT	656	13	71	71.000
CT	655	5	24	24.000
CT	654	13	57	57.000
CT	653	5	29	29.000
CT	652	6	29	29.000
CT	651	8	41	41.000
CT	650	6	30	30.000
CT	649	13	57	57.000
CT	648	7	34	34.000
CT	647	7	35	35.000
CT	646	6	36	36.000
CT	645	8	34	34.000
CT	644	10	44	44.000
CT	643	10	40	40.000
CT	642	11	40	40.000
CT	641	8	44	44.000
CT	640	7	37	37.000
CT	639	10	35	35.000
CT	638	6	32	32.000
CT	637	7	27	27.000
CT	636	5	21	21.000
CT	635	7	29	29.000
CT	634	5	29	29.000
CT	633	7	28	28.000
CT	632	10	45	45.000
CT	631	7	19	19.000
CT	630	4	18	18.000
CT	629	6	28	28.000
CT	628	8	23	23.000
CT	627	8	36	36.000
CT	626	6	25	25.000
CT	625	4	21	21.000
CT	624	7	21	21.000
CT	623	8	26	26.000
CT	622	3	10	10.000
CT	621	4	20	20.000
CT	620	2	10	10.000
CT	619	5	23	23.000
CT	618	4	20	20.000
CT	617	5	15	15.000
CT	616	5	25	25.000
CT	615	2	4	4.000
CT	614	5	26	26.000
CT	613	6	22	22.000
CT	612	12	62	62.000
CT	611	5	16	16.000
CT	610	6	26	26.000
CT	609	10	50	50.000
CT	608	10	43	43.000
CT	607	7	29	29.000
CT	606	8	32	32.000
CT	605	6	31	31.000
CT	604	6	29	29.000
CT	603	6	32	32.000
CT	602	12	55	55.000
CT	601	8	36	36.000
CT	600	9	42	42.000
CT	599	4	21	21.000
CT	598	6	26	26.000
CT	597	13	47	47.000
CT	596	16	58	58.000
CT	595	10	37	37.000
CT	594	8	40	40.000
CT	593	11	42	42.000
CT	592	12	51	51.000
CT	591	12	50	50.000
CT	590	9	32	32.000
CT	589	12	44	44.000
CT	588	17	76	76.000
CT	587	6	20	20.000
CT	586	5	21	21.000
CT	585	9	29	29.000
CT	584	5	16	16.000
CT	583	7	12	12.000
CT	582	6	19	19.000
